Sale_ID,Sale_Date,Customer_ID,Product_ID,Product_Category,Store_ID,Region,Quantity_Sold,Unit_Price,Payment_Method,Returned,Total_Sale_Amount
T00091,45332,C0083,P0042,Grocery,S005,South,6,10.38,UPI,No,62.28
T00092,45448,C0111,P0025,Home,S009,North,1,770.05,Credit Card,No,770.05
T00093,45306,C0144,P0018,Clothing,S004,North,1,128.12,Credit Card,No,128.12
T00094,45592,C0117,P0040,Toys,S002,West,7,75.62,UPI,No,529.34
T00095,45356,C0069,P0008,Electronics,S006,East,8,241.29,Cash,No,1930.32
T00096,45636,C0099,P0039,Toys,S004,West,5,105.48,Credit Card,No,527.4
T00097,45618,C0140,P0040,Toys,S006,West,5,75.62,UPI,No,378.1
T00098,45300,C0025,P0014,Clothing,S003,West,4,59.8,UPI,No,239.2
T00099,45635,C0180,P0032,Toys,S006,West,6,91.62,Net Banking,No,549.72
T00100,45420,C0123,P0038,Toys,S002,South,6,79.94,Cash,No,479.64
T00101,45427,C0053,P0033,Toys,S002,East,3,71.3,Net Banking,Yes,213.9
T00102,45354,C0151,P0023,Home,S009,South,9,338.18,Cash,Yes,3043.62
T00103,45430,C0144,P0015,Clothing,S007,East,7,138.73,Credit Card,No,971.11
T00104,45372,C0057,P0033,Toys,S003,North,1,71.3,Cash,No,71.3
T00105,45454,C0039,P0025,Home,S001,West,7,770.05,UPI,No,5390.35
T00106,45580,C0109,P0017,Clothing,S008,South,5,63.58,UPI,No,317.9
T00107,45552,C0181,P0033,Toys,S006,East,5,71.3,Cash,No,356.5
T00108,45522,C0042,P0047,Grocery,S007,North,2,13.25,Cash,No,26.5
T00109,45332,C0186,P0002,Electronics,S009,North,4,176.26,Cash,No,705.04
T00110,45319,C0167,P0014,Clothing,S005,West,6,59.8,Net Banking,No,358.8
T00111,45426,C0142,P0040,Toys,S001,East,7,75.62,Cash,Yes,529.34
T00112,45492,C0122,P0040,Toys,S010,South,5,75.62,Credit Card,No,378.1
T00113,45619,C0133,P0039,Toys,S007,West,9,105.48,Net Banking,Yes,949.32
T00114,45559,C0163,P0006,Electronics,S005,South,3,860.53,Net Banking,No,2581.59
T00115,45324,C0075,P0006,Electronics,S003,North,1,860.53,Cash,No,860.53
T00116,45339,C0146,P0003,Electronics,S009,South,4,438.78,Credit Card,No,1755.12
T00117,45353,C0076,P0007,Electronics,S001,South,9,1086.79,Net Banking,No,9781.11
T00118,45507,C0009,P0008,Electronics,S001,West,4,241.29,UPI,No,965.16
T00119,45584,C0074,P0042,Grocery,S001,South,2,10.38,Net Banking,No,20.76
T00120,45390,C0186,P0015,Clothing,S003,West,5,138.73,Cash,No,693.65
T00121,45463,C0145,P0047,Grocery,S006,North,3,13.25,Credit Card,Yes,39.75
T00122,45651,C0007,P0029,Home,S010,West,9,693.25,Cash,No,6239.25
T00123,45505,C0174,P0033,Toys,S003,West,4,71.3,UPI,No,285.2
T00124,45326,C0141,P0030,Home,S008,East,6,522.61,UPI,No,3135.66
T00125,45518,C0168,P0039,Toys,S010,South,2,105.48,UPI,No,210.96
T00126,45392,C0170,P0027,Home,S002,North,6,164.92,Cash,No,989.52
T00127,45422,C0137,P0036,Toys,S009,West,3,72.96,Net Banking,No,218.88
T00128,45548,C0178,P0029,Home,S003,North,9,693.25,Cash,No,6239.25
T00129,45296,C0027,P0038,Toys,S005,East,2,79.94,Credit Card,No,159.88
T00130,45509,C0122,P0033,Toys,S010,South,9,71.3,Net Banking,No,641.7
T00131,45546,C0194,P0037,Toys,S008,West,5,102.09,UPI,No,510.45
T00132,45650,C0005,P0027,Home,S002,South,8,164.92,Cash,No,1319.36
T00133,45574,C0029,P0033,Toys,S006,East,2,71.3,UPI,No,142.6
T00134,45498,C0165,P0004,Electronics,S005,East,6,384.37,UPI,No,2306.22
T00135,45306,C0166,P0022,Home,S010,North,3,588.7,Credit Card,No,1766.1
T00136,45637,C0083,P0002,Electronics,S009,West,5,176.26,Net Banking,No,881.3
T00137,45333,C0136,P0010,Electronics,S005,North,8,181.29,Credit Card,No,1450.32
T00138,45470,C0109,P0005,Electronics,S002,East,1,923.29,Credit Card,No,923.29
T00139,45354,C0065,P0010,Electronics,S005,South,5,181.29,Credit Card,No,906.45
T00140,45643,C0086,P0033,Toys,S004,North,3,71.3,UPI,No,213.9
T00141,45522,C0145,P0038,Toys,S007,North,4,79.94,Credit Card,Yes,319.76
T00142,45532,C0071,P0013,Clothing,S006,South,2,29.64,Credit Card,Yes,59.28
T00143,45343,C0045,P0031,Toys,S002,North,9,99.75,Net Banking,No,897.75
T00144,45387,C0132,P0047,Grocery,S005,South,3,13.25,Net Banking,No,39.75
T00145,45513,C0036,P0036,Toys,S007,West,2,72.96,Credit Card,No,145.92
T00146,45522,C0070,P0045,Grocery,S007,South,9,12.15,Net Banking,No,109.35
T00147,45528,C0159,P0024,Home,S005,West,7,208.84,Net Banking,No,1461.88
T00148,45434,C0019,P0015,Clothing,S009,South,6,138.73,Credit Card,No,832.38
T00149,45462,C0189,P0029,Home,S004,East,1,693.25,UPI,No,693.25
T00150,45320,C0108,P0008,Electronics,S003,East,5,241.29,Credit Card,No,1206.45
T00151,45327,C0182,P0005,Electronics,S004,West,3,923.29,Net Banking,No,2769.87
T00152,45304,C0167,P0029,Home,S005,West,1,693.25,UPI,No,693.25
T00153,45451,C0091,P0047,Grocery,S006,East,4,13.25,Cash,No,53.0
T00154,45618,C0090,P0004,Electronics,S003,West,2,384.37,UPI,No,768.74
T00155,45478,C0019,P0012,Clothing,S002,South,2,113.44,Net Banking,No,226.88
T00156,45534,C0039,P0045,Grocery,S004,South,3,12.15,UPI,No,36.45
T00157,45377,C0126,P0002,Electronics,S005,East,8,176.26,Credit Card,No,1410.08
T00158,45575,C0195,P0027,Home,S004,North,8,164.92,Cash,No,1319.36
T00159,45357,C0173,P0031,Toys,S003,South,7,99.75,Cash,No,698.25
T00160,45461,C0141,P0036,Toys,S008,West,6,72.96,Cash,No,437.76
T00161,45336,C0126,P0036,Toys,S010,North,9,72.96,Net Banking,No,656.64
T00162,45353,C0058,P0026,Home,S004,North,4,335.62,Net Banking,No,1342.48
T00163,45425,C0148,P0043,Grocery,S002,South,1,19.85,Cash,No,19.85
T00164,45575,C0200,P0027,Home,S002,South,8,164.92,UPI,No,1319.36
T00165,45319,C0061,P0005,Electronics,S001,North,7,923.29,Cash,No,6463.03
T00166,45399,C0127,P0020,Clothing,S004,North,7,26.14,UPI,No,182.98
T00167,45335,C0105,P0011,Clothing,S010,East,3,63.26,UPI,Yes,189.78
T00168,45631,C0167,P0010,Electronics,S009,West,4,181.29,Net Banking,Yes,725.16
T00169,45577,C0001,P0040,Toys,S007,East,9,75.62,UPI,No,680.58
T00170,45622,C0131,P0038,Toys,S010,South,6,79.94,Cash,No,479.64
T00171,45419,C0092,P0006,Electronics,S007,East,5,860.53,Net Banking,No,4302.65
T00172,45639,C0190,P0008,Electronics,S007,East,3,241.29,Credit Card,No,723.87
T00173,45522,C0191,P0023,Home,S008,East,9,338.18,Credit Card,No,3043.62
T00174,45481,C0113,P0047,Grocery,S001,East,5,13.25,Net Banking,No,66.25
T00175,45516,C0153,P0026,Home,S010,West,5,335.62,Cash,No,1678.1
T00176,45574,C0056,P0046,Grocery,S010,West,4,20.11,Credit Card,No,80.44
T00177,45412,C0161,P0043,Grocery,S008,North,4,19.85,Credit Card,No,79.4
T00178,45407,C0166,P0012,Clothing,S004,South,1,113.44,UPI,No,113.44
T00179,45524,C0117,P0026,Home,S004,East,7,335.62,UPI,No,2349.34
T00180,45550,C0134,P0013,Clothing,S004,North,9,29.64,Cash,No,266.76
T00181,45650,C0058,P0040,Toys,S006,North,3,75.62,Net Banking,No,226.86
T00182,45489,C0044,P0018,Clothing,S007,North,2,128.12,Cash,No,256.24
T00183,45428,C0173,P0025,Home,S006,West,3,770.05,Net Banking,Yes,2310.15
T00184,45609,C0160,P0033,Toys,S001,East,1,71.3,Credit Card,No,71.3
T00185,45456,C0173,P0047,Grocery,S008,East,6,13.25,UPI,No,79.5
T00186,45516,C0061,P0040,Toys,S010,South,7,75.62,Cash,Yes,529.34
T00187,45598,C0047,P0043,Grocery,S007,East,2,19.85,Cash,No,39.7
T00188,45525,C0149,P0012,Clothing,S006,East,8,113.44,Net Banking,No,907.52
T00189,45463,C0080,P0044,Grocery,S006,North,6,23.05,Net Banking,Yes,138.3
T00190,45443,C0118,P0036,Toys,S005,South,4,72.96,Cash,No,291.84
T00191,45606,C0164,P0048,Grocery,S006,East,5,22.45,Net Banking,No,112.25
T00192,45451,C0147,P0004,Electronics,S009,West,8,384.37,Cash,No,3074.96
T00193,45387,C0020,P0005,Electronics,S010,East,3,923.29,Cash,No,2769.87
T00194,45524,C0185,P0037,Toys,S009,North,3,102.09,Cash,No,306.27
T00195,45471,C0146,P0008,Electronics,S010,West,4,241.29,Credit Card,Yes,965.16
T00196,45404,C0047,P0042,Grocery,S008,North,1,10.38,Net Banking,No,10.38
T00197,45609,C0049,P0049,Grocery,S010,East,9,41.06,UPI,No,369.54
T00198,45343,C0014,P0028,Home,S009,West,8,167.7,UPI,No,1341.6
T00199,45559,C0143,P0031,Toys,S010,South,8,99.75,Net Banking,No,798.0
T00200,45586,C0159,P0009,Electronics,S008,South,6,593.02,Cash,No,3558.12
T00201,45404,C0001,P0029,Home,S008,West,7,693.25,UPI,No,4852.75
T00202,45392,C0117,P0014,Clothing,S001,West,6,59.8,UPI,No,358.8
T00203,45404,C0054,P0040,Toys,S010,North,9,75.62,Net Banking,No,680.58
T00204,45372,C0118,P0041,Grocery,S005,West,3,44.64,UPI,No,133.92
T00205,45478,C0003,P0022,Home,S004,North,3,588.7,Cash,No,1766.1
T00206,45404,C0144,P0011,Clothing,S002,East,3,63.26,Net Banking,No,189.78
T00207,45293,C0185,P0023,Home,S008,North,3,338.18,Cash,No,1014.54
T00208,45421,C0012,P0001,Electronics,S003,West,9,821.4,UPI,No,7392.6
T00209,45511,C0074,P0046,Grocery,S004,West,4,20.11,UPI,No,80.44
T00210,45345,C0016,P0037,Toys,S007,East,7,102.09,Cash,No,714.63
T00211,45634,C0200,P0021,Home,S010,West,9,664.07,Credit Card,No,5976.63
T00212,45515,C0102,P0026,Home,S009,West,7,335.62,UPI,No,2349.34
T00213,45516,C0152,P0046,Grocery,S002,South,9,20.11,Credit Card,No,180.99
T00214,45417,C0156,P0036,Toys,S003,South,3,72.96,UPI,No,218.88
T00215,45421,C0117,P0023,Home,S004,East,4,338.18,Credit Card,No,1352.72
T00216,45344,C0008,P0001,Electronics,S010,North,8,821.4,Credit Card,Yes,6571.2
T00217,45463,C0122,P0040,Toys,S001,South,6,75.62,Credit Card,No,453.72
T00218,45509,C0092,P0015,Clothing,S007,North,5,138.73,Cash,No,693.65
T00219,45451,C0164,P0021,Home,S002,West,4,664.07,Credit Card,No,2656.28
T00220,45489,C0090,P0047,Grocery,S005,South,8,13.25,Credit Card,No,106.0
T00221,45538,C0136,P0009,Electronics,S001,East,1,593.02,Credit Card,No,593.02
T00222,45615,C0186,P0009,Electronics,S003,East,9,593.02,UPI,No,5337.18
T00223,45494,C0060,P0010,Electronics,S002,East,1,181.29,Credit Card,Yes,181.29
T00224,45475,C0178,P0026,Home,S001,South,8,335.62,UPI,No,2684.96
T00225,45414,C0028,P0041,Grocery,S007,North,4,44.64,Credit Card,No,178.56
T00226,45546,C0101,P0035,Toys,S005,West,9,54.75,Credit Card,No,492.75
T00227,45585,C0041,P0025,Home,S001,North,5,770.05,Cash,No,3850.25
T00228,45571,C0192,P0026,Home,S006,North,3,335.62,UPI,No,1006.86
T00229,45616,C0155,P0011,Clothing,S005,West,9,63.26,Credit Card,No,569.34
T00230,45389,C0191,P0038,Toys,S003,West,9,79.94,UPI,No,719.46
T00231,45489,C0145,P0002,Electronics,S007,South,4,176.26,UPI,No,705.04
T00232,45531,C0161,P0007,Electronics,S010,South,4,1086.79,Net Banking,No,4347.16
T00233,45435,C0157,P0018,Clothing,S009,South,8,128.12,Cash,No,1024.96
T00234,45388,C0141,P0027,Home,S009,South,2,164.92,Cash,No,329.84
T00235,45492,C0046,P0034,Toys,S009,South,9,117.18,Cash,No,1054.62
T00236,45415,C0035,P0027,Home,S002,West,6,164.92,Net Banking,No,989.52
T00237,45478,C0134,P0017,Clothing,S003,North,9,63.58,Net Banking,No,572.22
T00238,45617,C0082,P0043,Grocery,S007,South,8,19.85,Cash,No,158.8
T00239,45640,C0115,P0044,Grocery,S005,South,7,23.05,Net Banking,No,161.35
T00240,45550,C0197,P0024,Home,S002,North,1,208.84,Net Banking,No,208.84
T00241,45439,C0047,P0025,Home,S003,South,3,770.05,Net Banking,No,2310.15
T00242,45543,C0153,P0007,Electronics,S010,North,2,1086.79,Cash,No,2173.58
T00243,45637,C0194,P0006,Electronics,S006,North,5,860.53,Cash,No,4302.65
T00244,45438,C0010,P0024,Home,S007,West,5,208.84,Cash,No,1044.2
T00245,45439,C0056,P0033,Toys,S009,East,5,71.3,Net Banking,No,356.5
T00246,45643,C0030,P0049,Grocery,S001,West,4,41.06,Cash,No,164.24
T00247,45490,C0109,P0029,Home,S007,East,5,693.25,Net Banking,No,3466.25
T00248,45599,C0005,P0043,Grocery,S008,East,3,19.85,Credit Card,No,59.55
T00249,45419,C0119,P0022,Home,S003,East,1,588.7,Net Banking,No,588.7
T00250,45330,C0033,P0026,Home,S004,South,5,335.62,UPI,No,1678.1
T00251,45629,C0118,P0028,Home,S010,West,9,167.7,Cash,No,1509.3
T00252,45651,C0065,P0050,Grocery,S006,East,9,26.97,Cash,No,242.73
T00253,45420,C0146,P0021,Home,S010,North,4,664.07,UPI,No,2656.28
T00254,45558,C0177,P0049,Grocery,S007,South,3,41.06,Net Banking,No,123.18
T00255,45442,C0011,P0007,Electronics,S004,West,1,1086.79,Credit Card,No,1086.79
T00256,45589,C0085,P0017,Clothing,S008,East,2,63.58,UPI,No,127.16
T00257,45390,C0026,P0020,Clothing,S005,North,8,26.14,UPI,No,209.12
T00258,45554,C0063,P0041,Grocery,S001,West,1,44.64,Net Banking,No,44.64
T00259,45543,C0086,P0049,Grocery,S004,West,8,41.06,Cash,Yes,328.48
T00260,45435,C0059,P0020,Clothing,S003,South,7,26.14,Net Banking,No,182.98
T00261,45637,C0027,P0022,Home,S009,West,8,588.7,UPI,Yes,4709.6
T00262,45403,C0177,P0028,Home,S008,South,6,167.7,UPI,No,1006.2
T00263,45351,C0161,P0040,Toys,S001,East,9,75.62,Cash,No,680.58
T00264,45293,C0098,P0049,Grocery,S006,South,3,41.06,Cash,No,123.18
T00265,45595,C0105,P0007,Electronics,S009,North,4,1086.79,Cash,No,4347.16
T00266,45545,C0099,P0001,Electronics,S007,South,6,821.4,Net Banking,No,4928.4
T00267,45431,C0129,P0032,Toys,S004,North,8,91.62,Cash,No,732.96
T00268,45328,C0149,P0013,Clothing,S001,South,5,29.64,UPI,No,148.2
T00269,45451,C0055,P0030,Home,S002,West,3,522.61,UPI,No,1567.83
T00270,45300,C0006,P0023,Home,S005,East,6,338.18,Credit Card,Yes,2029.08
T00271,45524,C0197,P0019,Clothing,S005,North,4,166.65,Net Banking,No,666.6
T00272,45390,C0095,P0032,Toys,S008,South,9,91.62,Credit Card,No,824.58
T00273,45438,C0133,P0030,Home,S006,South,3,522.61,UPI,No,1567.83
T00274,45595,C0102,P0029,Home,S008,South,4,693.25,Credit Card,No,2773.0
T00275,45499,C0003,P0049,Grocery,S002,West,7,41.06,UPI,No,287.42
T00276,45422,C0181,P0045,Grocery,S003,West,7,12.15,Credit Card,No,85.05
T00277,45443,C0023,P0029,Home,S006,North,4,693.25,Cash,No,2773.0
T00278,45345,C0053,P0030,Home,S010,North,6,522.61,Credit Card,No,3135.66
T00279,45411,C0165,P0016,Clothing,S003,West,3,120.36,Cash,No,361.08
T00280,45452,C0083,P0040,Toys,S006,North,6,75.62,Cash,No,453.72
T00281,45407,C0145,P0019,Clothing,S006,East,2,166.65,Net Banking,No,333.3
T00282,45366,C0085,P0018,Clothing,S002,East,8,128.12,Cash,No,1024.96
T00283,45404,C0078,P0001,Electronics,S007,West,2,821.4,Cash,No,1642.8
T00284,45395,C0110,P0014,Clothing,S002,North,7,59.8,Credit Card,No,418.6
T00285,45631,C0001,P0047,Grocery,S006,South,9,13.25,UPI,No,119.25
T00286,45545,C0051,P0050,Grocery,S001,East,1,26.97,Net Banking,No,26.97
T00287,45518,C0173,P0002,Electronics,S003,West,8,176.26,Cash,No,1410.08
T00288,45403,C0004,P0028,Home,S002,North,7,167.7,Net Banking,No,1173.9
T00289,45390,C0190,P0049,Grocery,S007,West,6,41.06,Credit Card,No,246.36
T00290,45444,C0193,P0050,Grocery,S004,South,6,26.97,Cash,No,161.82
T00291,45640,C0113,P0030,Home,S008,East,6,522.61,Credit Card,Yes,3135.66
T00292,45657,C0032,P0038,Toys,S006,West,9,79.94,Net Banking,No,719.46
T00293,45629,C0034,P0004,Electronics,S010,West,2,384.37,Credit Card,Yes,768.74
T00294,45485,C0092,P0001,Electronics,S004,West,1,821.4,Net Banking,No,821.4
T00295,45601,C0095,P0008,Electronics,S005,South,6,241.29,Credit Card,No,1447.74
T00296,45454,C0072,P0029,Home,S009,West,8,693.25,Net Banking,No,5546.0
T00297,45499,C0039,P0039,Toys,S007,South,3,105.48,UPI,No,316.44
T00298,45460,C0154,P0003,Electronics,S010,South,1,438.78,Credit Card,No,438.78
T00299,45452,C0162,P0032,Toys,S009,South,9,91.62,Credit Card,No,824.58
T00300,45359,C0182,P0010,Electronics,S007,East,1,181.29,UPI,No,181.29
T00301,45580,C0118,P0010,Electronics,S001,East,3,181.29,UPI,No,543.87
T00302,45568,C0003,P0019,Clothing,S008,West,8,166.65,Credit Card,Yes,1333.2
T00303,45595,C0123,P0046,Grocery,S004,West,3,20.11,UPI,No,60.33
T00304,45426,C0050,P0034,Toys,S003,East,4,117.18,Cash,No,468.72
T00305,45486,C0012,P0033,Toys,S007,North,8,71.3,Net Banking,No,570.4
T00306,45419,C0193,P0023,Home,S003,East,1,338.18,Net Banking,No,338.18
T00307,45324,C0054,P0028,Home,S008,South,6,167.7,Net Banking,No,1006.2
T00308,45467,C0133,P0032,Toys,S006,East,1,91.62,Cash,Yes,91.62
T00309,45313,C0057,P0050,Grocery,S005,South,1,26.97,UPI,No,26.97
T00310,45529,C0145,P0007,Electronics,S004,West,8,1086.79,UPI,No,8694.32
T00311,45449,C0112,P0029,Home,S008,North,4,693.25,Credit Card,No,2773.0
T00312,45329,C0047,P0008,Electronics,S008,West,1,241.29,UPI,No,241.29
T00313,45521,C0151,P0001,Electronics,S001,South,7,821.4,Credit Card,No,5749.8
T00314,45656,C0085,P0003,Electronics,S009,South,5,438.78,Cash,No,2193.9
T00315,45342,C0142,P0024,Home,S005,South,5,208.84,Net Banking,No,1044.2
T00316,45555,C0066,P0023,Home,S004,North,1,338.18,Net Banking,No,338.18
T00317,45574,C0075,P0008,Electronics,S006,East,6,241.29,Net Banking,No,1447.74
T00318,45318,C0179,P0047,Grocery,S006,West,9,13.25,UPI,No,119.25
T00319,45517,C0103,P0037,Toys,S002,West,9,102.09,Credit Card,No,918.81
T00320,45568,C0166,P0003,Electronics,S008,East,8,438.78,Credit Card,No,3510.24
T00321,45577,C0192,P0033,Toys,S007,West,5,71.3,Cash,No,356.5
T00322,45388,C0038,P0028,Home,S001,North,1,167.7,UPI,Yes,167.7
T00323,45575,C0050,P0047,Grocery,S005,West,9,13.25,Cash,No,119.25
T00324,45608,C0098,P0008,Electronics,S006,South,1,241.29,Credit Card,No,241.29
T00325,45595,C0082,P0034,Toys,S004,East,8,117.18,Credit Card,No,937.44
T00326,45438,C0030,P0035,Toys,S002,North,5,54.75,Net Banking,No,273.75
T00327,45295,C0079,P0032,Toys,S004,East,3,91.62,UPI,No,274.86
T00328,45326,C0091,P0024,Home,S001,North,7,208.84,Credit Card,No,1461.88
T00329,45483,C0179,P0014,Clothing,S007,South,7,59.8,Net Banking,No,418.6
T00330,45340,C0191,P0032,Toys,S002,East,9,91.62,UPI,No,824.58
